x,y,z,player_name
325998.53125,526396.0,12623.8271484375,ALEX_TSOY
514228.6875,424329.09375,12197.896484375,DOrse25
317367.15625,341277.71875,14483.0224609375,Dykk-
371624.71875,297985.625,8516.4453125,tecqana
460990.21875,79169.0,4711.2705078125,MemphisQK
373305.875,290981.9375,9310.6591796875,ugotpwnbad
324856.4375,355314.6875,14232.021484375,azaev_500
477147.21875,176145.21875,16544.07421875,aribarb
385991.21875,240236.375,7973.31494140625,DoSTaR_Baha
324188.5,355095.75,14424.208984375,radist77
486397.59375,367517.0,12092.4208984375,TMT-KENT
475325.5,364761.5,9553.1806640625,Zxclownnnnn
365483.90625,437653.03125,5311.44482421875,Vuchido74
365136.5,440112.78125,4788.06640625,ADUKH
371264.28125,296894.25,7955.06982421875,KaRaMayoR
370046.0,424439.59375,7158.7958984375,delaesh_Twitch
263872.96875,276255.15625,6366.390625,B3sp3rsp3ktivn9k
386106.4375,290229.1875,7125.1474609375,Hail_Suhrob
379432.875,426845.5,5222.26513671875,1m_S1su_-
371247.03125,298971.46875,8196.6416015625,KNB-17
365332.28125,440270.6875,6569.767578125,Sham4us_tw
316936.0625,341140.25,14118.166015625,ShelterGC1
471254.75,132401.6875,12363.51171875,GGG_Gatsu
389327.625,598217.8125,11746.169921875,wrldkups
377909.125,427702.09375,5685.3935546875,ABUZADA-_-
476063.8125,117159.15625,6416.9541015625,TaoTaoGaGaMeng
368765.53125,287429.28125,7097.091796875,chojuru
366312.0,438374.15625,4848.13671875,SAID_OSMANOFF_-
462152.03125,83290.4609375,4261.23876953125,RPG_Hit_you
435418.9375,281274.5625,5590.0986328125,VIP_ZONA19
461977.3125,80721.0234375,4316.2265625,ET_Lord
370718.78125,424557.59375,5541.79541015625,valer4ik38
379038.21875,216931.75,10307.166015625,Kana696
390869.75,245535.34375,8624.763671875,Farleon_ast
504766.71875,373202.09375,9709.1220703125,cGYXqa5uP
366556.375,288598.21875,8196.5107421875,Kac4
433811.71875,713696.125,1787.6795654296875,forplaint
316127.28125,346389.4375,14292.4716796875,Tesro
369864.4375,440790.84375,4970.27783203125,makcath
508639.375,360311.90625,10514.4326171875,sniper2991
473154.6875,357166.625,9527.763671875,q0r1
363804.84375,416653.71875,5613.537109375,Ayuskhan125
501576.4375,425982.15625,9421.7734375,Nikola_SS
436063.15625,280038.09375,5590.271484375,durnoyhach-
